Date,Open,High,Low,Close
06/07/2021,"1,494.58","1,494.01","1,494.01","1,494.01"
02/07/2021,"1,483.04","1,495.32","1,495.32","1,495.32"
01/07/2021,"1,469.24","1,482.54","1,482.54","1,482.54"
30/06/2021,"1,469.85","1,468.94","1,468.94","1,468.94"
29/06/2021,"1,468.72","1,469.58","1,469.58","1,469.58"
28/06/2021,"1,466.91","1,468.58","1,468.58","1,468.58"
25/06/2021,"1,459.45","1,466.12","1,466.12","1,466.12"
24/06/2021,"1,456.96","1,459.44","1,459.44","1,459.44"
23/06/2021,"1,458.38","1,452.04","1,452.04","1,452.04"
22/06/2021,"1,455.67","1,458.77","1,458.77","1,458.77"
21/06/2021,"1,437.19","1,455.73","1,455.73","1,455.73"
18/06/2021,"1,447.22","1,437.17","1,437.17","1,437.17"
17/06/2021,"1,442.18","1,454.88","1,454.88","1,454.88"
16/06/2021,"1,448.86","1,443.45","1,443.45","1,443.45"
15/06/2021,"1,450.06","1,449.02","1,449.02","1,449.02"
14/06/2021,"1,447.43","1,449.39","1,449.39","1,449.39"
11/06/2021,"1,457.24","1,448.24","1,448.24","1,448.24"
10/06/2021,"1,436.33","1,458.85","1,458.85","1,458.85"
09/06/2021,"1,421.88","1,434.66","1,434.66","1,434.66"
08/06/2021,"1,425.98","1,420.48","1,420.48","1,420.48"
07/06/2021,"1,421.32","1,425.60","1,425.60","1,425.60"
04/06/2021,"1,419.14","1,420.85","1,420.85","1,420.85"
03/06/2021,"1,406.69","1,416.33","1,416.33","1,416.33"
02/06/2021,"1,414.18","1,410.72","1,410.72","1,410.72"
01/06/2021,"1,438.33","1,413.81","1,413.81","1,413.81"
28/05/2021,"1,434.16","1,437.44","1,437.44","1,437.44"
27/05/2021,"1,435.88","1,433.16","1,433.16","1,433.16"
26/05/2021,"1,443.93","1,435.48","1,435.48","1,435.48"
25/05/2021,"1,448.23","1,443.59","1,443.59","1,443.59"
24/05/2021,"1,448.82","1,447.97","1,447.97","1,447.97"
21/05/2021,"1,448.22","1,447.14","1,447.14","1,447.14"
20/05/2021,"1,432.93","1,447.62","1,447.62","1,447.62"
19/05/2021,"1,432.72","1,432.71","1,432.71","1,432.71"
18/05/2021,"1,435.11","1,434.77","1,434.77","1,434.77"
17/05/2021,"1,436.40","1,434.08","1,434.08","1,434.08"
14/05/2021,"1,432.55","1,436.47","1,436.47","1,436.47"
13/05/2021,"1,417.07","1,430.99","1,430.99","1,430.99"
12/05/2021,"1,431.06","1,417.53","1,417.53","1,417.53"
11/05/2021,"1,444.58","1,431.91","1,431.91","1,431.91"
10/05/2021,"1,446.18","1,446.02","1,446.02","1,446.02"
07/05/2021,"1,434.81","1,444.60","1,444.60","1,444.60"
06/05/2021,"1,429.62","1,434.29","1,434.29","1,434.29"
05/05/2021,"1,431.00","1,433.22","1,433.22","1,433.22"
04/05/2021,"1,429.60","1,429.98","1,429.98","1,429.98"
03/05/2021,"1,414.36","1,429.43","1,429.43","1,429.43"
30/04/2021,"1,416.88","1,412.92","1,412.92","1,412.92"
29/04/2021,"1,422.98","1,417.49","1,417.49","1,417.49"
28/04/2021,"1,425.28","1,423.00","1,423.00","1,423.00"
27/04/2021,"1,433.39","1,427.98","1,427.98","1,427.98"
26/04/2021,"1,440.84","1,435.26","1,435.26","1,435.26"
23/04/2021,"1,430.78","1,440.34","1,440.34","1,440.34"
22/04/2021,"1,435.84","1,431.16","1,431.16","1,431.16"
21/04/2021,"1,422.33","1,437.30","1,437.30","1,437.30"
20/04/2021,"1,414.73","1,421.13","1,421.13","1,421.13"
19/04/2021,"1,415.09","1,415.09","1,415.09","1,415.09"
16/04/2021,"1,406.20","1,415.24","1,415.24","1,415.24"
15/04/2021,"1,382.68","1,404.75","1,404.75","1,404.75"
14/04/2021,"1,382.60","1,380.68","1,380.68","1,380.68"
13/04/2021,"1,371.70","1,382.34","1,382.34","1,382.34"
12/04/2021,"1,375.18","1,376.24","1,376.24","1,376.24"
09/04/2021,"1,360.35","1,375.56","1,375.56","1,375.56"
08/04/2021,"1,359.49","1,359.72","1,359.72","1,359.72"
07/04/2021,"1,361.14","1,358.17","1,358.17","1,358.17"
06/04/2021,"1,368.17","1,361.46","1,361.46","1,361.46"
05/04/2021,"1,358.38","1,366.35","1,366.35","1,366.35"
01/04/2021,"1,360.41","1,357.40","1,357.40","1,357.40"
31/03/2021,"1,358.63","1,360.34","1,360.34","1,360.34"
30/03/2021,"1,370.36","1,358.45","1,358.45","1,358.45"
29/03/2021,"1,364.97","1,370.87","1,370.87","1,370.87"
26/03/2021,"1,340.57","1,365.45","1,365.45","1,365.45"
25/03/2021,"1,335.24","1,338.97","1,338.97","1,338.97"
24/03/2021,"1,335.80","1,334.81","1,334.81","1,334.81"
23/03/2021,"1,348.23","1,335.59","1,335.59","1,335.59"
22/03/2021,"1,337.39","1,349.51","1,349.51","1,349.51"
19/03/2021,"1,333.13","1,337.41","1,337.41","1,337.41"
18/03/2021,"1,334.08","1,332.61","1,332.61","1,332.61"
17/03/2021,"1,339.92","1,335.15","1,335.15","1,335.15"
16/03/2021,"1,341.28","1,340.61","1,340.61","1,340.61"
15/03/2021,"1,329.50","1,341.12","1,341.12","1,341.12"
12/03/2021,"1,329.05","1,332.42","1,332.42","1,332.42"
11/03/2021,"1,323.62","1,330.59","1,330.59","1,330.59"
10/03/2021,"1,320.68","1,322.33","1,322.33","1,322.33"
09/03/2021,"1,313.38","1,319.47","1,319.47","1,319.47"
08/03/2021,"1,314.85","1,311.39","1,311.39","1,311.39"
05/03/2021,"1,290.72","1,315.13","1,315.13","1,315.13"
04/03/2021,"1,306.97","1,289.06","1,289.06","1,289.06"
03/03/2021,"1,323.19","1,306.45","1,306.45","1,306.45"
02/03/2021,"1,327.64","1,324.03","1,324.03","1,324.03"
01/03/2021,"1,315.30","1,327.31","1,327.31","1,327.31"
26/02/2021,"1,321.94","1,311.27","1,311.27","1,311.27"
25/02/2021,"1,335.05","1,321.95","1,321.95","1,321.95"
24/02/2021,"1,327.03","1,335.20","1,335.20","1,335.20"
23/02/2021,"1,328.32","1,326.48","1,326.48","1,326.48"
22/02/2021,"1,330.39","1,328.53","1,328.53","1,328.53"
19/02/2021,"1,348.50","1,332.52","1,332.52","1,332.52"
18/02/2021,"1,355.36","1,347.97","1,347.97","1,347.97"
17/02/2021,"1,350.16","1,356.79","1,356.79","1,356.79"
16/02/2021,"1,366.52","1,351.99","1,351.99","1,351.99"
12/02/2021,"1,355.79","1,365.94","1,365.94","1,365.94"
11/02/2021,"1,354.72","1,355.74","1,355.74","1,355.74"
10/02/2021,"1,355.19","1,353.55","1,353.55","1,353.55"
09/02/2021,"1,349.85","1,351.29","1,351.29","1,351.29"
08/02/2021,"1,348.43","1,349.60","1,349.60","1,349.60"
05/02/2021,"1,345.45","1,347.65","1,347.65","1,347.65"
04/02/2021,"1,337.66","1,344.26","1,344.26","1,344.26"
03/02/2021,"1,349.58","1,339.46","1,339.46","1,339.46"
02/02/2021,"1,347.07","1,348.92","1,348.92","1,348.92"
01/02/2021,"1,343.56","1,345.17","1,345.17","1,345.17"
29/01/2021,"1,353.08","1,340.92","1,340.92","1,340.92"
28/01/2021,"1,334.09","1,352.11","1,352.11","1,352.11"
27/01/2021,"1,371.94","1,332.42","1,332.42","1,332.42"
26/01/2021,"1,380.39","1,374.40","1,374.40","1,374.40"
25/01/2021,"1,370.66","1,379.86","1,379.86","1,379.86"
22/01/2021,"1,374.74","1,370.90","1,370.90","1,370.90"
21/01/2021,"1,380.43","1,374.73","1,374.73","1,374.72"
20/01/2021,"1,374.19","1,381.65","1,381.65","1,381.65"
19/01/2021,"1,367.33","1,373.74","1,373.74","1,373.74"
15/01/2021,"1,358.17","1,363.26","1,363.26","1,363.26"
14/01/2021,"1,364.62","1,358.91","1,358.91","1,358.91"
13/01/2021,"1,360.30","1,364.15","1,364.15","1,364.15"
12/01/2021,"1,375.63","1,360.72","1,360.72","1,360.72"
11/01/2021,"1,372.98","1,375.46","1,375.46","1,375.46"
08/01/2021,"1,363.71","1,368.54","1,368.54","1,368.54"
07/01/2021,"1,345.99","1,362.09","1,362.09","1,362.09"
06/01/2021,"1,319.76","1,344.35","1,344.35","1,344.35"
05/01/2021,"1,315.91","1,325.67","1,325.67","1,325.67"
04/01/2021,"1,324.57","1,316.89","1,316.89","1,316.89"
31/12/2020,"1,309.31","1,324.01","1,324.01","1,324.01"
30/12/2020,"1,311.18","1,309.08","1,309.08","1,309.08"
29/12/2020,"1,308.34","1,309.07","1,309.07","1,309.07"
28/12/2020,"1,304.00","1,303.37","1,303.37","1,303.37"
24/12/2020,"1,297.32","1,299.88","1,299.88","1,299.88"
23/12/2020,"1,299.16","1,296.78","1,296.78","1,296.78"
22/12/2020,"1,298.88","1,295.75","1,295.75","1,295.75"
21/12/2020,"1,307.94","1,299.99","1,299.99","1,299.99"
18/12/2020,"1,312.57","1,312.65","1,312.65","1,312.65"
17/12/2020,"1,300.16","1,312.28","1,312.28","1,312.28"
16/12/2020,"1,302.09","1,297.69","1,297.69","1,297.69"
15/12/2020,"1,291.57","1,302.04","1,302.04","1,302.04"
14/12/2020,"1,304.48","1,288.29","1,288.29","1,288.29"
11/12/2020,"1,301.75","1,298.49","1,298.49","1,298.49"
10/12/2020,"1,305.89","1,303.91","1,303.91","1,303.91"
09/12/2020,"1,311.95","1,306.48","1,306.48","1,306.48"
08/12/2020,"1,300.40","1,310.26","1,310.26","1,310.26"
07/12/2020,"1,308.51","1,300.77","1,300.77","1,300.77"
04/12/2020,"1,294.46","1,308.88","1,308.88","1,308.88"
03/12/2020,"1,296.72","1,294.77","1,294.77","1,294.77"
02/12/2020,"1,288.00","1,296.94","1,296.94","1,296.94"
01/12/2020,"1,283.54","1,286.61","1,286.61","1,286.61"
30/11/2020,"1,274.21","1,276.31","1,276.31","1,276.31"
27/11/2020,"1,263.80","1,272.68","1,272.68","1,272.68"
25/11/2020,"1,266.19","1,260.66","1,260.66","1,260.66"
24/11/2020,"1,264.05","1,266.01","1,266.01","1,266.01"
23/11/2020,"1,268.81","1,262.42","1,262.42","1,262.42"
20/11/2020,"1,268.08","1,266.25","1,266.25","1,266.25"
19/11/2020,"1,270.52","1,268.74","1,268.74","1,268.74"
18/11/2020,"1,296.54","1,270.51","1,270.51","1,270.51"
17/11/2020,"1,298.76","1,293.30","1,293.30","1,293.30"
16/11/2020,"1,309.99","1,302.87","1,302.87","1,302.87"
13/11/2020,"1,294.18","1,305.40","1,305.40","1,305.40"
12/11/2020,"1,290.66","1,288.60","1,288.60","1,288.60"
11/11/2020,"1,301.19","1,293.81","1,293.81","1,293.81"
10/11/2020,"1,297.05","1,295.95","1,295.95","1,295.95"
09/11/2020,"1,301.26","1,291.38","1,291.38","1,291.38"
06/11/2020,"1,281.68","1,282.04","1,282.04","1,282.04"
05/11/2020,"1,284.60","1,280.07","1,280.07","1,280.07"
04/11/2020,"1,239.46","1,277.71","1,277.71","1,277.71"
03/11/2020,"1,213.50","1,223.30","1,223.30","1,223.30"
02/11/2020,"1,196.54","1,205.91","1,205.91","1,205.91"
30/10/2020,"1,182.32","1,184.32","1,184.32","1,184.32"
29/10/2020,"1,192.41","1,185.17","1,185.17","1,185.17"
28/10/2020,"1,220.18","1,193.70","1,193.70","1,193.70"
27/10/2020,"1,240.06","1,233.48","1,233.48","1,233.48"
26/10/2020,"1,249.00","1,242.03","1,242.03","1,242.03"
23/10/2020,"1,256.41","1,255.97","1,255.97","1,255.97"
22/10/2020,"1,234.93","1,251.08","1,251.08","1,251.08"
21/10/2020,"1,237.81","1,232.76","1,232.76","1,232.76"
20/10/2020,"1,238.56","1,238.57","1,238.57","1,238.56"
19/10/2020,"1,259.39","1,236.95","1,236.95","1,236.95"
16/10/2020,"1,247.60","1,257.60","1,257.60","1,257.60"
15/10/2020,"1,242.52","1,244.88","1,244.88","1,244.88"
14/10/2020,"1,262.72","1,253.94","1,253.94","1,253.94"
13/10/2020,"1,270.28","1,262.70","1,262.70","1,262.70"
12/10/2020,"1,266.82","1,271.84","1,271.84","1,271.84"
09/10/2020,"1,257.65","1,263.33","1,263.33","1,263.33"
08/10/2020,"1,248.97","1,252.28","1,252.28","1,252.28"
07/10/2020,"1,228.04","1,246.40","1,246.40","1,246.40"
06/10/2020,"1,241.42","1,223.27","1,223.27","1,223.27"
05/10/2020,"1,220.77","1,239.50","1,239.50","1,239.50"
02/10/2020,"1,218.56","1,214.11","1,214.11","1,214.11"
01/10/2020,"1,235.33","1,225.24","1,225.24","1,225.24"
30/09/2020,"1,212.60","1,231.02","1,231.02","1,231.02"
29/09/2020,"1,214.62","1,210.72","1,210.72","1,210.72"
28/09/2020,"1,209.27","1,211.66","1,211.66","1,211.66"
25/09/2020,"1,177.46","1,201.81","1,201.81","1,201.81"
24/09/2020,"1,187.00","1,182.29","1,182.29","1,182.29"
23/09/2020,"1,202.76","1,188.52","1,188.52","1,188.52"
22/09/2020,"1,201.48","1,201.45","1,201.45","1,201.45"
21/09/2020,"1,222.03","1,203.72","1,203.72","1,203.72"
18/09/2020,"1,227.30","1,226.34","1,226.34","1,226.34"
17/09/2020,"1,225.07","1,227.91","1,227.91","1,227.91"
16/09/2020,"1,238.04","1,231.71","1,231.71","1,231.71"
15/09/2020,"1,237.15","1,234.48","1,234.48","1,234.48"
14/09/2020,"1,219.84","1,232.48","1,232.48","1,232.48"
11/09/2020,"1,214.73","1,216.07","1,216.07","1,216.07"
10/09/2020,"1,231.02","1,211.40","1,211.40","1,211.40"
09/09/2020,"1,214.10","1,230.48","1,230.48","1,230.48"
08/09/2020,"1,226.67","1,209.04","1,209.04","1,209.04"
04/09/2020,"1,240.06","1,229.65","1,229.65","1,229.65"
03/09/2020,"1,275.71","1,238.68","1,238.68","1,238.68"
02/09/2020,"1,248.20","1,273.61","1,273.61","1,273.61"
01/09/2020,"1,258.94","1,247.56","1,247.56","1,247.56"
31/08/2020,"1,255.12","1,259.88","1,259.88","1,259.88"
28/08/2020,"1,254.85","1,255.85","1,255.85","1,255.85"
27/08/2020,"1,245.12","1,253.32","1,253.32","1,253.32"
26/08/2020,"1,242.32","1,243.59","1,243.59","1,243.59"
25/08/2020,"1,239.47","1,245.11","1,245.11","1,245.11"
24/08/2020,"1,242.23","1,236.45","1,236.45","1,236.45"
21/08/2020,"1,242.03","1,243.13","1,243.13","1,243.13"
20/08/2020,"1,245.62","1,242.04","1,242.04","1,242.04"
19/08/2020,"1,250.08","1,245.63","1,245.63","1,245.63"
18/08/2020,"1,250.50","1,250.04","1,250.04","1,250.04"
17/08/2020,"1,243.24","1,250.47","1,250.47","1,250.47"
14/08/2020,"1,245.57","1,243.21","1,243.21","1,243.21"
13/08/2020,"1,247.72","1,245.90","1,245.90","1,245.90"
12/08/2020,"1,226.91","1,247.96","1,247.96","1,247.96"
11/08/2020,"1,234.66","1,226.88","1,226.88","1,226.88"
